leftElbowAngle,rightElbowAngle,leftKneeAngle,rightKneeAngle,leftShoulderAngle,rightShoulderAngle,leftHipAngle,rightHipAngle
161,152,166,171,166,171,165,150
173,164,166,152,163,156,156,165
188,160,163,163,168,180,167,157
167,159,178,159,184,180,168,151
184,166,156,156,168,172,173,164
159,172,150,162,165,169,150,157
186,171,156,156,171,170,172,164
170,146,161,162,173,160,163,160
189,183,175,145,170,172,173,165
159,178,152,150,174,181,171,150
165,155,168,161,180,172,159,164
162,181,155,156,188,167,161,150
172,160,159,171,158,170,172,158
167,169,177,154,161,183,178,168
187,156,141,164,179,184,155,169
167,147,151,147,184,150,173,165
155,174,172,156,159,161,161,157
183,149,157,148,188,185,176,167
163,177,161,166,173,189,156,156
174,164,166,157,178,153,162,150
163,160,167,156,167,164,161,160
177,172,156,163,181,165,161,167
161,148,159,159,172,160,170,152
182,157,162,150,171,187,157,171
178,156,158,141,178,164,173,161
181,145,166,161,174,187,151,150
174,173,169,158,183,176,164,158
177,156,170,153,165,183,162,150
168,168,168,141,177,176,170,167
177,171,160,154,156,160,160,159
161,155,163,144,170,166,171,169
186,183,156,163,177,175,162,155
179,170,157,156,168,168,172,151
173,160,156,153,171,170,180,161
155,146,161,148,171,165,159,153
160,150,164,153,189,165,172,166
172,168,159,163,171,165,164,155
171,170,159,149,180,156,161,155
174,168,168,140,163,169,171,159
165,176,148,161,192,165,160,153
154,174,168,161,175,178,160,161
167,149,165,159,175,189,161,149
150,171,156,149,167,160,159,164
162,160,159,150,180,169,145,151
163,174,166,154,177,180,160,148
161,181,158,145,171,150,171,164
153,158,150,164,194,171,161,152
173,159,165,156,159,151,172,160
176,165,156,157,161,164,173,152
153,150,152,151,175,168,162,168
169,179,162,150,183,174,166,159
167,162,167,148,158,165,162,155
159,178,163,146,178,179,169,155
179,163,156,170,182,178,165,156
179,174,147,153,174,178,163,153
173,157,158,153,176,166,155,154
174,164,157,158,172,163,174,147
169,174,145,150,182,162,167,151
165,146,166,147,175,180,159,151
170,162,169,153,183,179,162,159
164,160,164,166,159,174,156,165
162,184,160,156,160,154,173,157
171,184,167,145,161,151,170,169
171,148,168,146,179,182,155,150
179,174,165,162,173,171,166,151
168,162,160,147,160,156,147,176
167,162,155,154,178,160,167,161
174,152,150,164,167,170,159,165
176,151,165,160,181,179,172,154
163,163,158,158,172,155,171,164
189,174,150,164,172,167,162,150
165,147,159,137,162,162,168,160
156,179,154,154,169,171,172,169
170,176,167,161,178,164,156,164
165,162,167,151,178,167,169,152
172,182,162,155,168,180,160,158
165,160,164,147,165,187,161,157
161,146,159,156,167,177,174,154
174,168,153,164,167,151,164,152
171,181,165,140,184,177,162,156
160,155,159,157,163,184,160,168
185,184,167,156,156,161,170,150
150,168,176,149,193,185,174,157
189,154,151,158,188,155,164,164
165,164,158,152,176,168,163,168
152,150,158,164,178,153,148,160
166,145,166,157,170,178,156,164
188,146,167,164,176,177,170,167
177,180,165,146,190,181,155,165
150,155,151,163,165,183,173,163
176,169,162,145,172,182,164,166
174,154,153,158,178,172,170,161
163,166,154,140,190,156,163,162
175,162,168,164,163,165,158,164
180,173,152,152,169,189,183,164
161,184,153,167,155,170,165,154
153,178,157,155,185,172,162,146
162,175,156,160,171,188,170,164
171,174,166,151,168,155,176,168
163,172,153,155,180,166,166,171
