leftElbowAngle,rightElbowAngle,leftKneeAngle,rightKneeAngle,leftShoulderAngle,rightShoulderAngle,leftHipAngle,rightHipAngle
175,161,158,161,182,173,162,159
171,157,158,148,176,150,170,157
163,162,161,158,184,155,181,158
170,175,161,156,177,160,162,155
166,168,150,160,167,175,158,159
182,172,162,158,167,178,165,158
179,164,158,147,178,178,158,150
179,159,143,162,166,182,167,163
173,173,166,161,184,177,149,166
177,172,159,143,168,165,173,153
173,155,173,148,169,167,166,143
163,164,174,156,169,175,158,152
160,145,169,154,160,175,171,175
164,162,178,155,185,156,171,159
172,164,163,155,175,162,164,144
160,159,155,148,178,176,176,157
185,175,161,158,187,159,156,161
162,165,164,152,162,156,160,150
167,163,159,138,184,168,177,140
177,148,165,150,168,177,167,164
169,160,171,145,191,168,149,153
171,167,162,152,171,171,168,162
168,153,167,151,180,174,167,149
170,162,158,139,183,175,165,159
171,161,174,160,168,176,157,167
161,180,154,160,158,164,168,164
170,172,162,163,166,176,181,142
172,163,156,147,177,183,160,155
176,156,168,157,160,173,170,179
171,155,159,148,183,166,180,154
168,184,168,150,170,162,164,174
169,170,151,151,188,173,161,159
172,155,155,137,175,172,165,153
175,165,159,168,178,167,172,151
167,166,176,142,180,162,161,162
166,169,158,169,168,164,173,169
165,164,166,157,173,179,172,168
186,184,166,150,178,177,160,167
163,161,172,148,185,160,164,164
160,170,154,157,178,159,162,164
182,179,142,160,179,164,158,176
177,156,179,159,179,171,163,156
152,156,151,156,173,163,157,154
179,168,159,172,170,167,163,156
172,156,160,159,173,178,170,141
165,145,158,156,167,165,168,168
179,145,166,164,169,165,177,164
154,162,150,170,179,176,158,155
165,183,160,162,168,161,173,162
167,168,161,171,165,163,181,142
160,164,162,136,177,175,146,169
163,180,166,148,181,169,160,158
186,158,169,168,167,167,164,167
166,167,163,159,177,169,166,150
177,150,146,152,186,179,162,167
158,174,157,142,183,151,158,166
179,169,144,172,179,174,170,172
185,158,160,164,175,178,163,150
170,163,158,161,170,166,162,174
177,152,165,159,181,179,160,159
178,168,176,163,173,152,166,155
171,172,176,143,167,169,150,156
168,150,168,166,173,179,148,151
171,166,159,162,175,171,168,164
177,159,163,157,178,163,161,169
168,174,164,154,169,150,150,177
183,171,150,159,175,175,155,167
161,151,144,156,167,162,169,175
166,171,165,156,192,176,155,162
168,171,167,154,176,164,169,166
167,171,150,157,169,169,157,165
177,161,177,165,174,166,171,163
176,150,176,154,181,166,165,153
162,153,163,164,177,179,169,140
176,171,160,157,177,185,145,153
172,161,151,159,188,166,170,175
166,155,174,148,179,169,155,147
188,171,157,156,172,176,154,160
176,148,153,166,166,177,169,160
178,160,156,160,173,162,171,153
171,172,163,148,166,176,169,177
177,184,168,155,177,163,165,142
161,176,146,156,178,170,160,146
167,159,147,155,169,162,169,164
160,158,165,142,176,168,173,172
176,170,153,158,189,156,174,151
176,167,166,168,175,169,167,161
179,153,152,159,173,169,173,169
169,159,140,152,165,162,161,157
167,165,150,154,181,163,165,172
179,162,151,157,168,187,146,169
174,163,155,152,173,188,172,156
174,173,179,160,159,164,182,157
183,166,153,167,181,171,183,148
173,156,165,145,171,161,171,151
171,160,159,155,167,168,149,152
185,159,158,172,192,171,184,179
166,157,158,174,166,173,158,158
160,177,164,150,176,167,147,158
160,184,142,164,168,169,157,152
